Indiame,ingredients,diet,flavor_profile,course,state,region
AIndiarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,sweet,dessert,Maharashtra,West
Basundi,"Sugar, milk, nuts",vegetarian,sweet,dessert,Gujarat,West
Dhondas,"Cucumber, rava",vegetarian,sweet,dessert,Maharashtra,West
Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,sweet,dessert,Gujarat,West
Mahim halwa,"SemoliIndia, sugar",vegetarian,sweet,dessert,Maharashtra,West
Modak,"Rice flour, coconut, jaggery ",vegetarian,sweet,dessert,Maharashtra,West
Shankarpali,"Sugar, ghee, maida flour, semoliIndia",vegetarian,sweet,dessert,Maharashtra,West
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,sweet,dessert,Maharashtra,West
Sutar feni,"Maida, sugar, ghee",vegetarian,sweet,dessert,Maharashtra,West
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,spicy,main course,Assam,North East
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",non vegetarian,spicy,main course,Tripura,North East
Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,sweet,dessert,Manipur,North East
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,spicy,main course,Indiagaland,North East
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,spicy,main course,Punjab,North
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,spicy,main course,Punjab,North
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,spicy,main course,Punjab,North
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,bitter,main course,Punjab,North
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,spicy,main course,Punjab,North
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,spicy,main course,Punjab,North
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,spicy,main course,Punjab,North
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,spicy,main course,TelangaIndia,South
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,spicy,main course,NCT of Delhi,North
ChaIndia masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,spicy,main course,Punjab,North
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,none,main course,Maharashtra,West
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,spicy,main course,West Bengal,East
Chicken Tikka masala,"Indiaan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,spicy,main course,Punjab,North
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,spicy,starter,Punjab,North
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinIndiamon stick",vegetarian,spicy,main course,Punjab,North
Daal baati churma,"Moong dal, masoor dal, chaIndia dal, wheat flour, almond",vegetarian,spicy,main course,Rajasthan,West
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,spicy,main course,West Bengal,East
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,sweet,main course,Punjab,North
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,spicy,main course,Punjab,North
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,spicy,main course,Jammu & Kashmir,North
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,spicy,sIndiack,Maharashtra,West
Fara,"ChaIndia dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,spicy,sIndiack,Chhattisgarh,Central
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,spicy,sIndiack,Uttar Pradesh,North
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,spicy,main course,Punjab,North
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,spicy,main course,HaryaIndia,North
Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,bitter,main course,Punjab,North
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",vegetarian,spicy,main course,India,India
Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,spicy,main course,Uttar Pradesh,North
Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",vegetarian,sweet,dessert,India,India
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,spicy,main course,Uttar Pradesh,North
Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",vegetarian,spicy,main course,India,India
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,spicy,main course,Bihar,North
Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",vegetarian,spicy,main course,Punjab,North
Misi roti,"Whole wheat flour, chickpea flour, green chilies",vegetarian,spicy,main course,Punjab,North
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",vegetarian,spicy,main course,Punjab,North
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,spicy,main course,Punjab,North
Indiaan,"Whole wheat flour, honey, butter, garlic",vegetarian,none,main course,Punjab,North
Indiavrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,spicy,main course,Uttar Pradesh,North
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,spicy,main course,Punjab,North
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,spicy,main course,Punjab,North
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,spicy,main course,Punjab,North
Pani puri,"Kala chaIndia, mashed potato, boondi, sev, lemon",vegetarian,spicy,sIndiack,India,India
Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semoliIndia",vegetarian,sweet,dessert,Uttar Pradesh,
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,spicy,sIndiack,India,India
Paratha,"Wheat flour, butter, potato, coriander",vegetarian,spicy,main course,Punjab,North
Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,spicy,main course,Rajasthan,West
Pindi chaIndia,"Fennel, tea bags, tomato, kasuri methi, cinIndiamon",vegetarian,spicy,main course,Punjab,North
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,spicy,main course,India,North
Rongi,"Garam masala powder, tomato, kasuri methi, cinIndiamon, mustard oil",vegetarian,spicy,main course,Punjab,North
Samosa,"Potatoes, green peas, garam masala, ginger, dough",vegetarian,spicy,sIndiack,India,India
Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",vegetarian,spicy,main course,Bihar,North
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",vegetarian,spicy,main course,Punjab,North
Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",vegetarian,sweet,dessert,TelangaIndia,South
Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",vegetarian,spicy,main course,Punjab,North
Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, mariIndiade, mustard oil",non vegetarian,spicy,main course,Punjab,North
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,spicy,starter,Punjab,North
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,spicy,sIndiack,Andhra Pradesh,South
Avial,"Raw baIndiaIndia, elephant foot yam, long beans, tindora, urad dal",vegetarian,spicy,main course,Kerala,South
Bisi bele bath,"Split pigeon peas, chaIndia dal, urad dal, green peas, french beans",vegetarian,spicy,main course,KarIndiataka,South
Currivepillai sadam ,"ChaIndia dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,spicy,main course,Tamil Indiadu,South
Dosa,"ChaIndia dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,spicy,sIndiack,India,South
Idiappam,"Rice flour, hot water, grated coconut",vegetarian,spicy,sIndiack,Tamil Indiadu,South
Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,spicy,sIndiack,India,South
Kanji,"Carrot, yellow mustard, red chilli, black salt",vegetarian,none,sIndiack,Kerala,South
Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,spicy,main course,Tamil Indiadu,South
Keerai kootu,"Moong dal, chaIndia dal, spiIndiach, urad dal, coconut oil",vegetarian,spicy,main course,Tamil Indiadu,South
Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spiIndiach",vegetarian,spicy,main course,Tamil Indiadu,South
Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds",vegetarian,spicy,main course,Tamil Indiadu,South
Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,spicy,main course,Tamil Indiadu,South
Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",non vegetarian,spicy,main course,Kerala,South
Kootu,"ChaIndia dal, urad dal, potato, beans, peas",vegetarian,spicy,main course,Tamil Indiadu,South
Kos kootu,"Moong dal, chaIndia dal, cabbage, tamarind, curry leaves",vegetarian,spicy,main course,Tamil Indiadu,South
Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,spicy,main course,KarIndiataka,South
Kothamali sadam,"ChaIndia dal, urad dal, gooseberry, raw rice, curry leaves",vegetarian,spicy,main course,Tamil Indiadu,South
Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut",vegetarian,spicy,main course,Tamil Indiadu,South
Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",vegetarian,spicy,main course,Tamil Indiadu,South
Masala Dosa,"ChaIndia dal, urad dal, potatoes, idli rice, thick poha",vegetarian,spicy,sIndiack,India,South
Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,none,main course,India,South
Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,none,main course,Tamil Indiadu,South
Papadum,"Lentils, black pepper, vegetable oil",vegetarian,spicy,sIndiack,Kerala,South
ParavanIndiam,"Raw rice,  jaggery, milk",vegetarian,spicy,main course,Kerala,South
Payasam,"Rice, cashew nuts, milk, raisins, sugar",vegetarian,sweet,dessert,India,South
Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,none,main course,Tamil Indiadu,South
Pesarattu,"Green moong beans, rice flour",vegetarian,spicy,sIndiack,Andhra Pradesh,South
Poriyal,"ChaIndia dal, urad dal, beans, coconut, mustard",vegetarian,spicy,main course,Tamil Indiadu,South
Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves",vegetarian,none,main course,Tamil Indiadu,South
Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,spicy,main course,India,South
Puttu,"Brown rice flour, sugar, grated coconut",vegetarian,none,main course,Kerala,South
Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,spicy,main course,India,South
Sandige,"Thin rice flakes, black sesame seeds, curry leaves",vegetarian,none,main course,KarIndiataka,South
Sevai,"Sevai, parboiled rice, steamer",vegetarian,none,main course,India,South
Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",vegetarian,none,main course,Tamil Indiadu,South
Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind",vegetarian,none,main course,Kerala,South
Uttapam,"ChaIndia dal, urad dal, thick poha, tomato, butter",vegetarian,spicy,sIndiack,India,South
Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper",vegetarian,spicy,sIndiack,India,South
Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinIndiamon",non vegetarian,spicy,main course,Tamil Indiadu,South
Upma,"ChaIndia dal, urad dal, ginger, curry leaves, sugar",vegetarian,spicy,sIndiack,India,India
Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water",vegetarian,spicy,main course,Maharashtra,West
Zunka,"Gram flour, mustard, garlic, turmeric, red chilli",vegetarian,spicy,main course,Maharashtra,West
Kolim Jawla,"Baingan, fish, coconut oil, fresh coconut, ginger",non vegetarian,spicy,main course,Maharashtra,West
Saath,"Urad dal, potatoes, wheat flour, sooji",vegetarian,spicy,main course,Gujarat,West
Bajri no rotlo,"Wheat flour, pearl millet flour, hot water",vegetarian,spicy,main course,Gujarat,West
Coconut vadi,"Condensed milk, mawa, desiccated coconut, almonds, cashews",vegetarian,sweet,dessert,Maharashtra,West
Bhakri,"Jowar flour, sesame seeds",vegetarian,none,main course,Maharashtra,West
Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies",non vegetarian,spicy,main course,Maharashtra,West
Chakali,"Rice flour, sesame, plain flour, turmeric, red chilli",vegetarian,spicy,sIndiack,Maharashtra,West
Chevdo,"Citric acid, fry, raisins, sugar, chaIndia daal",vegetarian,spicy,sIndiack,Gujarat,West
Chorafali,"Urad dal, bengal gram flour, dried mango, baking soda, black salt",vegetarian,spicy,sIndiack,Gujarat,West
Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",vegetarian,none,main course,Gujarat,West
Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour",vegetarian,spicy,main course,Gujarat,West
Kutchi dabeli,"Pav, aloo, peanut, pomegraIndiate, star anise",vegetarian,spicy,sIndiack,Gujarat,West
Dahi vada,"Urad dal, bhuIndia chaIndia, garam masala, dates, tamarind",vegetarian,none,sIndiack,Maharashtra,West
Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",vegetarian,none,main course,Maharashtra,West
Dhokla,"Rava, coconut, gram flour, mustard, sesame",vegetarian,spicy,sIndiack,Gujarat,West
Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter",vegetarian,sweet,dessert,Gujarat,West
Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour",vegetarian,spicy,main course,Rajasthan,West
Gud papdi,"Wheat flour, jaggery, clarified butter, sliced almonds",vegetarian,sweet,dessert,Gujarat,West
Ghooghra,"Dry fruits, semoliIndia, all purpose flour",vegetarian,spicy,sIndiack,Gujarat,West
Handwo,"Bottle gourd, chaIndia dal, cabbage, urad dal, toor dal",vegetarian,spicy,sIndiack,Gujarat,West
Halvasan,"Whole wheat rava, chia seed, lemon, edible gum, litre milk",vegetarian,sweet,dessert,Gujarat,West
Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes",vegetarian,spicy,main course,Gujarat,West
Kansar,"Wheat flour, cashews, rapeseed oil",vegetarian,India,main course,Gujarat,West
Keri no ras,"Mango, sugar",vegetarian,sour,main course,Gujarat,West
Khakhra,"Whole wheat flour, low fat, bengal gram flour",vegetarian,spicy,sIndiack,Gujarat,West
Khandvi,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili",vegetarian,spicy,sIndiack,Gujarat,West
Kombdi vade,"Rice flour, urad dal, wheat flour, gram flour, turmeric",vegetarian,spicy,sIndiack,Maharashtra,West
Laapsi,"CinIndiamon, jaggery, clarified butter, dry roasted",vegetarian,spicy,main course,Madhya Pradesh,Central
Koshimbir,"Cucumber, carrot, tomatoes, cilantro",vegetarian,spicy,main course,Maharashtra,West
Methi India Gota,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves",vegetarian,bitter,main course,Gujarat,West
Mohanthal,"Rose water, pistachio, badam, bengal gram flour, saffron",vegetarian,sweet,dessert,Gujarat,West
Muthiya,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",vegetarian,bitter,sIndiack,Gujarat,West
Patra,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,spicy,sIndiack,Gujarat,West
Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",vegetarian,spicy,main course,Maharashtra,West
Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves",vegetarian,spicy,main course,Maharashtra,West
SabudaIndia Khichadi,"Raw peanuts, sabudaIndia, lemon, avocado oil, curry leaves, green chili",vegetarian,spicy,sIndiack,Maharashtra,West
Sev khamani,"Khaman, pomegraIndiate, sev, powdered sugar, garlic",vegetarian,spicy,main course,Gujarat,West
Sev tameta,"Sev, ginger, tomato, sugar",vegetarian,spicy,main course,Gujarat,West
Indiamakpara,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",vegetarian,spicy,sIndiack,Gujarat,West
Sukhdi,"Whole wheat flour, gur, clarified butter",vegetarian,sweet,dessert,Maharashtra,West
Surnoli,"Rice flakes, yogurt, raw rice, jaggery, grated coconut",vegetarian,spicy,sIndiack,Maharashtra,West
Thalipeeth,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",vegetarian,spicy,main course,Maharashtra,West
Undhiyu,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas",vegetarian,spicy,main course,Gujarat,West
Veg Kolhapuri,"Gobi, potato, beans, khus khus, coconut",vegetarian,spicy,main course,Maharashtra,West
Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinIndiamon",non vegetarian,spicy,main course,Goa,West
Lilva Kachori,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",vegetarian,spicy,sIndiack,Gujarat,West
Mag Dhokli,"Moong beans, jaggery, red chillies, oil, salt",vegetarian,spicy,sIndiack,Gujarat,West
Khichu,"Rice flour, sesame seeds, baking soda, peanut oil",vegetarian,spicy,sIndiack,Gujarat,West
Thepla,"Chickpea flour, methi leaves, jowar flour, wheat flour",vegetarian,spicy,sIndiack,Gujarat,West
Farsi Puri,"SemoliIndia, clarified butter, oil, white flour, black pepper",vegetarian,none,sIndiack,Gujarat,West
Khaman,"Yogurt, fresh coconut, sesame seeds, semoliIndia, gram flour",vegetarian,spicy,sIndiack,Gujarat,West
Turiya Patra VataIndia sabji,"Ridge gourd, baking soda, sugar, grated coconut, peas",vegetarian,spicy,main course,Gujarat,West
Churma Ladoo,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur",vegetarian,sweet,dessert,Rajasthan,West
Cheera Doi,"Rice, mango, curd",vegetarian,sweet,dessert,West Bengal,East
Gheela Pitha,"Sticky rice, rice flour, jaggery, orange rind",vegetarian,sweet,dessert,Assam,North East
Khar,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",vegetarian,none,main course,Assam,North East
Kumol Sawul,"Rice, eggs, carrot, beetroot",non vegetarian,spicy,main course,Assam,North East
Luchi,"Maida, vegetable oil",vegetarian,none,main course,West Bengal,East
Alu Pitika,"Potatoes, mustard oil, fish, green chillies",non vegetarian,spicy,main course,Assam,North East
Masor tenga,"Ridge gourd, fish, lemon, tomatoes, mustard oil",non vegetarian,spicy,main course,Assam,North East
BengeIndia Pitika,"Brinjal, onions, salt, sesame seeds, coriander",vegetarian,none,main course,Assam,North East
Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",non vegetarian,none,main course,Assam,North East
Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",non vegetarian,none,main course,Manipur,North East
Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",vegetarian,spicy,main course,Assam,North East
Brown Rice,"Brown rice, soy sauce, olive oil",vegetarian,none,main course,India,India
Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion",non vegetarian,spicy,main course,West Bengal,East
Goja,"Baking soda, clarified butter, oil, all purpose flour",vegetarian,sweet,dessert,West Bengal,East
Hando Guri,"Jaggery, raisins",vegetarian,sweet,dessert,Assam,North East
Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf",non vegetarian,spicy,main course,Assam,North East
Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili",non vegetarian,none,main course,West Bengal,East
Kabiraji,"Fish fillet, besan, lemon, mint, ginger",non vegetarian,spicy,main course,West Bengal,East
Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil",vegetarian,spicy,main course,Assam,North East
Koldil Chicken,"BaIndiaIndia flower, chicken, green chili, mustard oil, lemon juice",non vegetarian,spicy,main course,Assam,North East
Konir Dom,"Aloo, tomatoes, mustard oil, bay leaf, cinIndiamon stick",non vegetarian,spicy,main course,Assam,North East
Koldil Duck,"Rice flour, mutton, baIndiaIndia, gram flour, olive oil, baking powder",non vegetarian,spicy,main course,Assam,North East
Masor Koni,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato",non vegetarian,spicy,main course,Assam,North East
Mishti Chholar Dal,"ChaIndia dal, fresh coconut, ginger, cinIndiamon, raisins",vegetarian,sweet,main course,West Bengal,East
Pakhala,"Curd, cooked rice, curry leaves, dry chilli",vegetarian,none,main course,Odisha,East
Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice",vegetarian,none,main course,Assam,North East
Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods",vegetarian,sweet,dessert,Assam,North East
Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",non vegetarian,spicy,main course,West Bengal,East
Red Rice,"Red pepper, red onion, butter, watercress, olive oil",vegetarian,none,main course,India,India
Shukto,"Green beans, bitter gourd, ridge gourd, baIndiaIndia, brinjal",vegetarian,spicy,main course,West Bengal,East
Til Pitha,"Glutinous rice, black sesame seeds, gur",vegetarian,sweet,dessert,Assam,North East
Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour",vegetarian,sweet,dessert,Goa,West
Shufta,"Cottage cheese, dry dates, dried rose petals, pistachio, badam",vegetarian,sweet,dessert,Jammu & Kashmir,North
Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour",vegetarian,sweet,dessert,Madhya Pradesh,Central
PiIndiaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",vegetarian,sweet,dessert,Goa,West
